"difficulty_average","favorites_count","free","name","rating_average","yarn_weight_description","knit_needle_size","crochet_hook","knit_needles","crochet_hook_size","craft","pattern_cat","pattern_parent_cat","pattern_parent_parent_cat","pull_date","n_langs","pull_day"
2.52627324171382,44678,FALSE,"Sophie Hood",4.73732718894009,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-24",13,24
2.52657004830918,28265,FALSE,"Sailor Slippers",4.86036036036036,"Super Bulky (5-6 wpi)","11 ",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-24",1,24
5.046875,33520,FALSE,"Rosie Sweater",4.71830985915493,"DK (11 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-24",10,24
2.25468164794008,68618,TRUE,"Step by Step Sweater",4.87107223841918,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-24",2,24
2.19148936170213,4105,FALSE,"One Love Mystery Shawl",4.32068965517241,"Fingering (14 wpi)","7 ",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-24",1,24
2.52229299363057,79320,FALSE,"Musselburgh",4.88525252525253,"Fingering (14 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-24",6,24
2.40985576923077,63668,FALSE,"Oslo Hat",4.72256438969765,"DK (11 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-24",10,24
1.92183195592286,71520,FALSE,"Sophie Scarf",4.84310850439883,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-24",17,24
0,138,TRUE,"Waistcoats - Oxford",0,"Aran (8 wpi)","8 ",FALSE,TRUE,"H","Knitting","Vest","Clothing","Categories","2025-11-25",5,25
0,4371,FALSE,"Edda Sweater",0,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-25",12,25
0,257,TRUE,"Christmas Tea Party",0,"Fingering (14 wpi)","2 ",FALSE,TRUE,"C","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-25",1,25
0,2219,FALSE,"Fiona",0,"Worsted (9 wpi)","5 ",FALSE,TRUE,"F","Knitting","Pullover","Sweater","Clothing","2025-11-25",2,25
0,659,TRUE,"Hanna Hat",0,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",2,25
0,370,TRUE,"Jali socks",0,"Fingering (14 wpi)","1 ",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-25",1,25
3.17034700315457,31114,FALSE,"Lakes Pullover",4.89296636085627,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-25",16,25
0,1142,TRUE,"Sugarloaf Shrug",0,"Bulky (7 wpi)","8 ",FALSE,TRUE,"H","Knitting","Poncho","Neck / Torso","Accessories","2025-11-25",3,25
3.30769230769231,6861,FALSE,"Angry Mittens",4.78571428571429,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Mittens","Hands","Accessories","2025-11-25",2,25
2.96139927623643,52389,FALSE,"Cloud Sweater",4.74825986078886,"Bulky (7 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-25",14,25
2.53002401921537,44929,FALSE,"Sophie Hood",4.73764258555133,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",13,25
2.52702702702703,28802,FALSE,"Sailor Slippers",4.85654008438819,"Super Bulky (5-6 wpi)","11 ",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-25",1,25
5.03076923076923,33716,FALSE,"Rosie Sweater",4.72602739726027,"DK (11 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-25",10,25
2.25501530091806,68738,TRUE,"Step by Step Sweater",4.87123908120349,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-25",2,25
2.2013201320132,4109,FALSE,"One Love Mystery Shawl",4.31089743589744,"Fingering (14 wpi)","7 ",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-25",1,25
2.522178304787,79391,FALSE,"Musselburgh",4.88507372248031,"Fingering (14 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",6,25
2.40996398559424,63742,FALSE,"Oslo Hat",4.72295219457646,"DK (11 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",10,25
1.92178098676294,71646,FALSE,"Sophie Scarf",4.84308943089431,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",17,25
2.18093699515347,33641,TRUE,"The Simple Thing",4.79813664596273,"DK (11 wpi)","7 ",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",4,25
3.48310580204778,117155,FALSE,"Ranunculus",4.81327670284726,"","10 ",FALSE,TRUE,"J","Knitting","Pullover","Sweater","Clothing","2025-11-25",4,25
0,4158,FALSE,"Hannah Sweater V-neck",0,"Worsted (9 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-16",18,16
0,189,TRUE,"Everyday mittens / Codzienne mitenki",0,"Aran (8 wpi)","6 ",FALSE,TRUE,"G","Knitting","Convertible","Hands","Accessories","2025-11-16",4,16
0,1084,FALSE,"TONI Vest",0,"DK (11 wpi)","6 ",FALSE,TRUE,"G","Knitting","Vest","Clothing","Categories","2025-11-16",4,16
0,5398,FALSE,"Harvest Flower Sweater",0,"DK (11 wpi)","8 ",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-16",2,16
2.97149938042131,51256,FALSE,"Cloud Sweater",4.74791914387634,"Bulky (7 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-16",14,16
0,1028,FALSE,"Winter subway",0,"Aran (8 wpi)","8 ",FALSE,TRUE,"H","Knitting","Cowl","Neck / Torso","Accessories","2025-11-16",1,16
0,2001,TRUE,"Pocket Edition",0,"Sport (12 wpi)","4 ",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-16",2,16
0,796,FALSE,"Oribus Fingerless Mitts",0,"Fingering (14 wpi)","1½",FALSE,TRUE,"","Knitting","Fingerless Gloves/Mitts","Hands","Accessories","2025-11-16",1,16
2.40163934426229,21902,FALSE,"Sailor Slippers",4.86259541984733,"Super Bulky (5-6 wpi)","11 ",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-16",1,16
3.75,657,FALSE,"Mia mittens",4.66666666666667,"Aran (8 wpi)","4 ",FALSE,TRUE,"E","Knitting","Mittens","Hands","Accessories","2025-11-16",1,16
2.52454780361757,42256,FALSE,"Sophie Hood",4.74407195421096,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-16",13,16
0,1673,FALSE,"Hakuba Hooded Scarf",0,"Bulky (7 wpi)","10½",FALSE,TRUE,"K","Knitting","Balaclava","Hat","Accessories","2025-11-16",1,16
5.08,31671,FALSE,"Rosie Sweater",4.69642857142857,"DK (11 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-16",10,16
2.08,3985,FALSE,"One Love Mystery Shawl",4.51181102362205,"Fingering (14 wpi)","7 ",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-16",1,16
2.2527972027972,67266,TRUE,"Step by Step Sweater",4.87125748502994,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-16",2,16
2.52155648905594,78662,FALSE,"Musselburgh",4.88513925594633,"Fingering (14 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-16",6,16
2.40877458396369,62909,FALSE,"Oslo Hat",4.72209695603157,"DK (11 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-16",10,16
1.92139737991266,70375,FALSE,"Sophie Scarf",4.84301075268817,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-16",17,16
2.17213114754098,32613,TRUE,"The Simple Thing",4.79810725552051,"DK (11 wpi)","7 ",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-16",4,16
3.48271140020541,116736,FALSE,"Ranunculus",4.81347640839514,"","10 ",FALSE,TRUE,"J","Knitting","Pullover","Sweater","Clothing","2025-11-16",4,16
0,454,TRUE,"Santas look socks",0,"",NA,NA,NA,NA,"Knitting","Chart","Components","Categories","2025-11-18",2,18
